NJ.PA,EmploymentPost,EmploymentPre,WagePre,BurgerKing,KFC,Roys,Wendys
0,18,30,5,0,0,0,1
0,29.5,19,5.5,0,0,0,1
0,24,67.5,5,1,0,0,0
0,30.5,18.5,5,1,0,0,0
0,9,6,5.25,0,1,0,0
0,6.5,7,5,0,1,0,0
0,13.5,12.5,5,0,0,1,0
0,25,55,5,1,0,0,0
0,26.5,21.5,5,1,0,0,0
0,23,25.5,5.5,1,0,0,0
0,15,10.5,5,1,0,0,0
0,17,13.75,5.25,0,1,0,0
0,10.5,8.5,5,0,1,0,0
0,16,13,5,0,0,1,0
0,12.5,26.5,5,0,0,1,0
0,11.5,16.5,5,0,0,1,0
0,11,16.25,5,0,0,1,0
0,15,33,5,0,0,1,0
0,18,18,5,0,0,1,0
0,15,17.5,5,0,0,1,0
0,15.5,14,5,0,0,0,1
0,10.5,11,5,0,0,1,0
0,14.5,15,5,0,0,1,0
0,18.5,25.5,4.25,1,0,0,0
0,12.5,17,4.25,1,0,0,0
0,19.5,20,4.25,1,0,0,0
0,21,13.5,4.25,1,0,0,0
0,11,19,4.5,1,0,0,0
0,17,12,4.25,1,0,0,0
0,22.5,32.5,4.5,1,0,0,0
0,20,16,4.25,1,0,0,0
0,14,11,4.5,0,1,0,0
0,13.5,7.5,4.25,0,1,0,0
0,16,35,4.67,0,0,0,1
0,14,20.5,4.75,0,0,0,1
0,8,7.5,4.25,0,0,0,1
0,20,20,4.25,0,0,0,1
0,8,8,4.75,0,1,0,0
0,24,32.5,4.25,1,0,0,0
0,30,47.5,4.5,1,0,0,0
0,21,25,4.25,1,0,0,0
0,33.5,40,4.25,1,0,0,0
0,16,19.75,4.25,1,0,0,0
0,6.5,4.5,4.25,0,1,0,0
0,15,12.5,4.25,0,0,0,1
0,15,35,4.25,0,0,0,1
0,15,13.5,4.25,0,0,0,1
0,27.5,22,4.25,0,0,0,1
0,21.5,17,4.75,1,0,0,0
0,22.5,12.5,4.87,1,0,0,0
0,31.5,12.5,4.75,1,0,0,0
0,9,5.5,4.5,0,1,0,0
0,10,15,4.25,0,0,1,0
0,20,16.75,4.75,0,0,0,1
