river,station,length,weight,mercury
lumber,l1,47,1616,1.6
lumber,l1,48.7,1862,1.5
lumber,l1,55.7,2855,1.7
lumber,l1,45.2,1199,0.73
lumber,l1,44.7,1320,0.56
lumber,l1,43.8,1225,0.51
lumber,l1,38.5,870,0.48
lumber,l1,45.8,1455,0.95
lumber,l1,44,1220,1.4
lumber,l1,40.4,1033,0.5
lumber,l2,47.7,3378,0.8
lumber,l2,45.1,2920,0.34
lumber,l2,43.5,2674,0.54
lumber,l2,47.4,3675,0.69
lumber,l2,41,1904,0.9
lumber,l2,33.7,1080,0.48
lumber,l2,33.5,1146,0.57
lumber,l2,32.2,1002,0.41
lumber,l2,32,894,0.61
lumber,l2,29.5,754,0.38
lumber,l2,34.9,1174,0.61
lumber,l2,47.1,1435,1.5
lumber,l2,44.2,1378,0.72
lumber,l2,41,1059,1.8
lumber,l2,41.6,873,1.6
lumber,l2,39,857,0.98
lumber,l2,38,743,0.88
lumber,l2,36.1,622,1.5
lumber,l2,33.4,503,0.73
lumber,l3,32.8,406,1.2
lumber,l3,31.4,362,1.1
lumber,l3,33.6,360,1.6
lumber,l3,29.5,313,0.87
lumber,l3,30.5,314,0.9
lumber,l3,27,238,0.91
lumber,l3,30,336,0.61
lumber,l3,30,329,0.85
lumber,l3,33.5,448,0.99
lumber,l3,31,263,1.5
lumber,l3,29,271,0.7
lumber,l3,65,4511,2.1
lumber,l3,58,3597,1.5
lumber,l4,36,600,1.5
lumber,l4,36,650,0.91
lumber,l4,44,1132,1.8
lumber,l4,40.5,863,1.1
lumber,l4,38.5,773,1.3
lumber,l4,40,898,1.2
lumber,l4,44.5,1301,1.6
lumber,l4,50.5,2021,1.2
lumber,l4,50,1883,1.2
lumber,l4,47,1546,1.2
lumber,l5,26,234,0.28
lumber,l5,30,323,0.51
lumber,l5,30,430,0.27
lumber,l5,29,353,0.35
lumber,l5,31,402,0.57
lumber,l5,41,1042,0.66
lumber,l5,36.5,723,0.49
lumber,l5,38,709,0.51
lumber,l5,44,1455,0.73
lumber,l5,27.5,308,0.94
lumber,l5,39,879,1.4
lumber,l5,48,1396,2.7
lumber,l5,51.5,2369,1.8
lumber,l5,56,3421,3.1
lumber,l6,30.5,400,0.5
lumber,l6,42,1049,1.2
lumber,l6,34,678,0.55
lumber,l7,50.5,2228,3.5
lumber,l7,44.5,1853,2.7
lumber,l7,30,380,1.4
lumber,l7,35,620,0.73
wacamaw,w1,30.4,320,0.51
wacamaw,w1,25.2,217,0.23
wacamaw,w1,36,574,1.6
wacamaw,w1,29.9,298,0.48
wacamaw,w1,34.7,491,0.58
wacamaw,w1,34.7,491,0.58
