"profnumber" "beauty" "eval" "courseID" "tenured" "minority" "age" "didevaluation" "female" "formal" "lower" "multipleclass" "nonenglish" "onecredit" "percentevaluating" "profevaluation" "students" "tenuretrack"
1 0.2015666 4.3 3 0 1 36 24 1 0 0 1 0 0 55.81395 4.7 43 1
2 -0.8260813 4.5 0 1 0 59 17 0 0 0 0 0 0 85 4.6 20 1
3 -0.6603327 3.7 4 1 0 51 55 0 0 0 1 0 0 100 4.1 55 1
4 -0.7663125 4.3 2 1 0 40 40 1 0 0 1 0 0 86.95652 4.5 46 1
5 1.421445 4.4 0 0 0 31 42 1 0 0 0 0 0 87.5 4.8 48 1
6 0.5002196 4.2 0 1 0 62 182 0 1 0 0 0 0 64.53901 4.4 282 1
7 -0.2143501 4 4 0 0 33 33 1 0 0 1 0 0 80.48781 4.4 41 1
8 -0.346539 3.4 0 1 0 51 25 1 0 0 0 0 0 60.97561 3.4 41 1
9 0.0613435 4.5 0 0 0 33 48 1 0 0 0 0 0 80 4.8 60 1
10 0.4525679 3.9 4 0 0 47 16 0 0 0 1 0 0 84.21053 4 19 0
11 0.1432643 3.1 4 0 1 35 18 0 0 0 1 1 0 72 3.6 25 1
12 -0.1550228 4 0 0 0 37 30 0 0 0 0 0 0 88.23529 4.1 34 0
13 0.1285433 3.8 0 1 0 42 28 0 0 0 0 0 0 70 4.1 40 1
14 -0.3470453 3.4 0 1 0 49 30 0 0 0 0 1 0 83.33334 3.5 36 1
15 0.4619388 2.9 9 0 0 37 23 1 0 0 1 0 0 82.14286 2.9 28 1
16 -0.1503849 4.5 9 1 0 45 23 0 0 0 1 0 0 69.69697 4.6 33 1
17 -1.070734 4 10 0 0 56 27 1 0 0 1 0 0 65.85366 4.4 41 0
18 -0.1426931 3.8 0 0 0 48 100 0 0 1 0 0 0 74.07407 4 135 0
19 -0.1563634 4.3 0 1 0 46 25 1 0 0 0 0 0 80.64516 4.9 31 1
20 -0.0589354 3.4 0 0 0 57 17 1 0 0 0 0 0 60.71429 3.5 28 0
21 0.1511368 3.4 9 0 0 52 19 1 0 0 1 0 0 86.36364 3.7 22 0
22 -0.937076 3.3 8 0 1 29 19 1 0 0 1 1 0 73.07692 3.4 26 1
23 -0.8214405 4.3 10 1 0 62 30 0 0 0 1 0 0 76.92308 4.3 39 1
24 -0.1994712 4.4 0 1 0 64 15 0 0 0 0 0 0 62.5 4.5 24 1
25 1.687167 4.6 0 0 0 34 20 1 0 0 0 0 0 76.92308 4.8 26 1
26 -0.4101976 4.2 25 1 0 58 84 0 0 0 1 0 0 52.83019 4.4 159 1
27 0.1233448 4 17 1 1 52 13 0 1 0 1 1 0 81.25 4.4 16 1
28 -0.8059942 3.3 13 1 0 73 12 0 1 0 1 0 0 70.58823 3.6 17 1
29 -0.8210418 4.4 19 1 0 70 47 0 1 0 1 0 0 35.07463 4.6 134 1
30 0.3198185 2.3 15 0 0 41 10 1 0 0 1 0 0 83.33334 2.3 12 1
31 -0.0985568 3.5 12 0 0 63 28 0 0 0 1 0 0 65.11628 4.3 43 0
32 -1.012306 4.7 0 1 0 47 10 0 0 0 0 0 0 66.66666 4.9 15 1
33 0.4883314 3.9 0 1 0 39 86 0 0 1 0 0 0 34.95935 4.2 246 1
34 -0.1719505 4 21 0 1 47 21 1 0 1 1 0 0 100 4.2 21 1
35 -1.167907 4.3 16 1 0 54 15 0 1 0 1 0 0 100 4.3 15 1
