YEAR,MELANOMA,SUNSPOT
1936,1.00,40.00
1937,0.90,115.00
1938,0.80,100.00
1939,1.40,80.00
1940,1.20,60.00
1941,1.00,40.00
1942,1.50,23.00
1943,1.90,10.00
1944,1.50,10.00
1945,1.50,25.00
1946,1.50,75.00
1947,1.60,145.00
1948,1.80,130.00
1949,2.80,130.00
1950,2.50,80.00
1951,2.50,65.00
1952,2.40,20.00
1953,2.10,10.00
1954,1.90,5.00
1955,2.40,10.00
1956,2.40,60.00
1957,2.60,190.00
1958,2.60,180.00
1959,4.40,175.00
1960,4.20,120.00
1961,3.80,50.00
1962,3.40,35.00
1963,3.60,20.00
1964,4.10,10.00
1965,3.70,15.00
1966,4.20,30.00
1967,4.10,60.00
1968,4.10,105.00
1969,4.00,105.00
1970,5.20,105.00
1971,5.30,80.00
1972,5.30,65.00
