"Team","WINorLOSS","OpponentPoints"
"CLE","L",95
"CLE","W",108
"CLE","L",101
"CLE","L",102
"CLE","W",101
"CLE","W",111
"CLE","W",121
"CLE","W",94
"CLE","L",106
"CLE","L",92
"CLE","L",91
"CLE","L",110
"CLE","W",74
"CLE","W",87
"CLE","W",97
"CLE","W",108
"CLE","W",87
"CLE","W",91
"CLE","W",88
"CLE","W",101
"CLE","L",103
"CLE","L",119
"CLE","W",88
"CLE","L",127
"CLE","W",91
"CLE","W",91
"CLE","W",104
"CLE","L",101
"CLE","W",89
"CLE","L",103
"CLE","L",109
"CLE","L",96
"CLE","W",87
"CLE","L",109
"CLE","L",95
"CLE","L",105
"CLE","L",112
"CLE","L",103
"CLE","L",107
"CLE","W",102
"CLE","W",121
"CLE","W",94
"CLE","W",92
"CLE","W",90
"CLE","W",98
"CLE","W",95
"CLE","W",94
"CLE","W",90
"CLE","W",90
"CLE","W",84
"CLE","W",94
"CLE","L",103
"CLE","W",105
"CLE","W",93
"CLE","L",113
"CLE","W",89
"CLE","W",83
"CLE","W",93
"CLE","W",99
"CLE","L",93
"CLE","L",105
"CLE","W",79
"CLE","W",112
"CLE","L",106
"CLE","W",79
"CLE","W",94
"CLE","W",125
"CLE","W",108
"CLE","L",106
"CLE","W",92
"CLE","W",92
"CLE","W",90
"CLE","W",89
"CLE","L",106
"CLE","W",86
"CLE","W",88
"CLE","W",94
"CLE","W",99
"CLE","L",99
"CLE","L",117
"CLE","W",97
"CLE","W",108
"GSW","W",77
"GSW","W",104
"GSW","W",90
"GSW","W",104
"GSW","W",87
"GSW","L",107
"GSW","L",113
"GSW","W",99
"GSW","W",87
"GSW","W",115
"GSW","W",88
"GSW","W",86
"GSW","W",97
"GSW","W",96
"GSW","W",101
"GSW","W",93
"GSW","W",97
"GSW","W",85
"GSW","W",102
"GSW","W",86
"GSW","W",93
"GSW","W",98
"GSW","W",122
"GSW","L",105
"GSW","W",109
"GSW","W",108
"GSW","L",115
"GSW","L",100
"GSW","W",97
"GSW","W",86
"GSW","W",105
"GSW","W",91
"GSW","W",102
"GSW","W",94
"GSW","W",105
"GSW","W",89
"GSW","L",127
"GSW","W",106
"GSW","W",79
"GSW","W",113
"GSW","W",101
"GSW","W",111
"GSW","L",113
"GSW","L",110
"GSW","W",87
"GSW","W",96
"GSW","W",114
"GSW","L",124
"GSW","W",92
"GSW","W",84
"GSW","W",91
"GSW","W",99
"GSW","L",104
"GSW","W",107
"GSW","L",110
"GSW","W",89
"GSW","W",101
"GSW","L",110
"GSW","W",93
"GSW","W",89
"GSW","W",98
