"Ideology" "Party" "Sex"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Very Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Slightly Liberal" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
"Moderate" "Democratic" "Female"
