"org" "survey" "bush" "state" "edu" "age" "female" "black" "region" "v_prev"
"cbsnyt" "9158" NA 7 3 1 1 0 1 0.566633343823751
"cbsnyt" "9158" 1 39 4 2 1 0 1 0.526566670163472
"cbsnyt" "9158" 0 31 2 4 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 7 3 1 1 0 1 0.566633343823751
"cbsnyt" "9158" 1 33 2 2 1 0 1 0.52436664425532
"cbsnyt" "9158" 1 33 4 4 1 0 1 0.52436664425532
"cbsnyt" "9158" 1 39 2 2 0 0 1 0.526566670163472
"cbsnyt" "9158" 1 20 2 4 1 0 1 0.549599981244405
"cbsnyt" "9158" 0 33 4 3 0 0 1 0.52436664425532
"cbsnyt" "9158" 0 40 1 3 0 0 1 0.478700007629395
"cbsnyt" "9158" 0 31 4 2 1 0 1 0.564166665871938
"cbsnyt" "9158" 1 33 3 4 1 0 1 0.52436664425532
"cbsnyt" "9158" 1 33 4 2 1 0 1 0.52436664425532
"cbsnyt" "9158" 0 31 4 2 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 22 4 2 1 0 1 0.489766651884715
"cbsnyt" "9158" NA 7 2 1 1 1 1 0.566633343823751
"cbsnyt" "9158" 1 31 2 4 0 0 1 0.564166665871938
"cbsnyt" "9158" 1 39 1 4 0 0 1 0.526566670163472
"cbsnyt" "9158" 0 31 2 1 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 33 3 2 0 0 1 0.52436664425532
"cbsnyt" "9158" 0 33 3 4 1 0 1 0.52436664425532
"cbsnyt" "9158" 0 7 2 1 0 0 1 0.566633343823751
"cbsnyt" "9158" 1 39 2 3 0 0 1 0.526566670163472
"cbsnyt" "9158" 0 33 4 2 0 0 1 0.52436664425532
"cbsnyt" "9158" 1 33 4 2 0 0 1 0.52436664425532
"cbsnyt" "9158" 0 22 4 3 1 0 1 0.489766651884715
"cbsnyt" "9158" 1 31 2 1 0 0 1 0.564166665871938
"cbsnyt" "9158" 1 31 4 3 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 31 3 4 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 22 1 2 0 0 1 0.489766651884715
"cbsnyt" "9158" 0 33 2 3 1 0 1 0.52436664425532
"cbsnyt" "9158" 0 44 1 4 0 0 3 0.594033358287811
"cbsnyt" "9158" 0 22 3 2 0 0 1 0.489766651884715
"cbsnyt" "9158" 0 39 4 2 0 0 1 0.526566670163472
"cbsnyt" "9158" 0 33 3 1 0 0 1 0.52436664425532
"cbsnyt" "9158" 0 10 2 2 1 0 3 0.611633290735881
"cbsnyt" "9158" 1 31 1 4 1 0 1 0.564166665871938
"cbsnyt" "9158" 1 4 2 3 1 0 3 0.539733344459534
"cbsnyt" "9158" 1 31 2 3 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 44 4 3 0 0 3 0.594033358287811
"cbsnyt" "9158" 1 14 2 2 1 0 2 0.537000003655752
"cbsnyt" "9158" 1 41 4 3 0 0 3 0.572766618665059
"cbsnyt" "9158" 1 22 4 1 1 0 1 0.489766651884715
"cbsnyt" "9158" 1 10 1 1 0 0 3 0.611633290735881
"cbsnyt" "9158" 1 41 4 2 1 0 3 0.572766618665059
"cbsnyt" "9158" 1 39 3 1 0 0 1 0.526566670163472
"cbsnyt" "9158" 1 41 4 2 1 0 3 0.572766618665059
"cbsnyt" "9158" 1 19 2 3 0 0 3 0.584099987602234
"cbsnyt" "9158" 0 14 2 2 1 0 2 0.537000003655752
"cbsnyt" "9158" NA 10 2 4 1 0 3 0.611633290735881
"cbsnyt" "9158" 0 47 4 2 1 0 3 0.608066638533274
"cbsnyt" "9158" 0 37 1 3 1 0 3 0.603233325068156
"cbsnyt" "9158" 0 22 4 1 1 0 1 0.489766651884715
"cbsnyt" "9158" 1 31 1 3 1 0 1 0.564166665871938
"cbsnyt" "9158" 0 11 3 2 1 0 3 0.523033343982697
"cbsnyt" "9158" 1 36 3 1 0 0 2 0.552200000635783
"cbsnyt" "9158" 1 24 2 2 0 0 2 0.505500021378199
"cbsnyt" "9158" 1 19 2 2 1 0 3 0.584099987602234
"cbsnyt" "9158" 1 7 3 2 0 0 1 0.566633343823751
"cbsnyt" "9158" 1 25 4 1 0 0 3 0.582999997297923
"cbsnyt" "9158" 0 9 4 2 1 1 5 0.152999997138977
"cbsnyt" "9158" 0 47 1 4 1 0 3 0.608066638533274
"cbsnyt" "9158" 0 17 1 4 0 0 2 0.602099974091848
"cbsnyt" "9158" 0 26 2 2 1 0 2 0.533566686375936
"cbsnyt" "9158" 0 49 2 2 1 0 1 0.493566658401489
"cbsnyt" "9158" 1 14 4 2 0 0 2 0.537000003655752
"cbsnyt" "9158" 0 18 3 2 1 0 3 0.529166691144307
"cbsnyt" "9158" 0 21 4 2 1 0 1 0.501166654507319
"cbsnyt" "9158" NA 50 4 2 1 0 2 0.527833360989889
"cbsnyt" "9158" 1 37 4 3 1 0 3 0.603233325068156
"cbsnyt" "9158" 1 41 2 1 0 1 3 0.572766618665059
"cbsnyt" "9158" 1 11 3 1 1 0 3 0.523033343982697
"cbsnyt" "9158" 1 43 3 2 1 0 3 0.554300017801921
"cbsnyt" "9158" 0 14 4 3 0 0 2 0.537000003655752
"cbsnyt" "9158" 1 33 2 1 0 0 1 0.52436664425532
"cbsnyt" "9158" 1 25 2 1 0 0 3 0.582999997297923
"cbsnyt" "9158" 1 49 3 2 1 0 1 0.493566658401489
"cbsnyt" "9158" 1 19 4 2 1 0 3 0.584099987602234
"cbsnyt" "9158" 1 25 2 3 1 0 3 0.582999997297923
"cbsnyt" "9158" NA 47 2 3 1 0 3 0.608066638533274
"cbsnyt" "9158" NA 41 1 3 1 0 3 0.572766618665059
"cbsnyt" "9158" 1 44 4 2 0 0 3 0.594033358287811
"cbsnyt" "9158" 1 43 1 3 0 0 3 0.554300017801921
